ep	Train Loss	Validation Loss	Test Loss	Val Accuracy	Val Jaccard	Val Recall	Val WIS	Test Accuracy	Test Jaccard	Test Recall	Test WIS
0	5.6292706	2.5821154	2.54224	0.9976028969245677	0.9952172585733184	0.5	-4.230317351914537e-22	1.0	1.0	1.0	-8.963323862287895e-22
1	2.3965309	0.2513028	0.24432279	0.9976028969245677	0.9952172585733184	0.5	-2.3075902870346768e-08	1.0	1.0	1.0	-1.320403218130955e-07
2	0.77363116	-0.9606207	-0.92295647	0.9976028969245677	0.9952172585733184	0.5	-0.029794305193856823	1.0	1.0	1.0	-0.042358404550980444
3	-0.54413897	0.32887006	0.32539877	0.9976028969245677	0.9952172585733184	0.5	-0.025574919338119503	1.0	1.0	1.0	-0.06774296243395012
4	-0.4775371	-0.60548955	-0.54683447	0.9976028969245677	0.9952172585733184	0.5	-0.03856421024375729	1.0	1.0	1.0	-0.0706992092742475
5	-0.19101924	1.1052994	1.055117	0.9976028969245677	0.9952172585733184	0.5	-0.03343895661346334	1.0	1.0	1.0	-0.05577730193382543
6	0.40653342	0.8350329	0.9941012	0.9976028969245677	0.9952172585733184	0.5	-0.03135659227028948	1.0	1.0	1.0	-0.047084951498458476
7	0.7761669	0.8693387	1.0174071	0.9976028969245677	0.9952172585733184	0.5	-0.031475968512594245	1.0	1.0	1.0	-0.04396960771699566
8	1.1537141	0.2870774	0.4440271	0.9976028969245677	0.9952172585733184	0.5	-0.030226833963567925	1.0	1.0	1.0	-0.03966281404035272
9	1.6336482	0.18784852	0.40954792	0.9976028969245677	0.9952172585733184	0.5	-0.017365204395054918	1.0	1.0	1.0	-0.018454321631512175
10	1.9221787	1.3205314	1.3984771	0.9976028969245677	0.9952172585733184	0.5	0.11565468188768743	1.0	1.0	1.0	0.13396866617410463
11	0.20889474	-0.6634395	-0.48588404	0.9976028969245677	0.9952172585733184	0.5	-0.04489545059249454	1.0	1.0	1.0	-0.04529084285695062
12	1.372991	0.0047646165	0.06779749	0.9976028969245677	0.9952172585733184	0.5	-0.019611722183387824	1.0	1.0	1.0	-0.010436720885507683
13	-0.062651664	-1.5229563	-1.3886452	0.9976028969245677	0.9952172585733184	0.5	-0.06409936903844052	1.0	1.0	1.0	-0.06698392841449212
14	-0.4072312	-2.2334182	-2.3158996	0.9976028969245677	0.9952172585733184	0.5	-0.044203804515682475	1.0	1.0	1.0	-0.04674390366596813
15	-0.28919303	0.32650295	0.12621589	0.9976028969245677	0.9952172585733184	0.5	0.042712333984255745	1.0	1.0	1.0	0.06502976821645848
16	0.36632913	1.745369	1.9442258	0.9976028969245677	0.9952172585733184	0.5	-0.09191292731483403	1.0	1.0	1.0	-0.10577076100670822
17	1.6179045	0.12306315	0.21198128	0.9976028969245677	0.9952172585733184	0.5	0.04729439264344233	1.0	1.0	1.0	0.07518212352775483
18	0.04342922	-0.98607904	-0.969918	0.9976028969245677	0.9952172585733184	0.5	-0.0352631751801155	1.0	1.0	1.0	-0.030845828439607165
19	-0.659044	-0.84222156	-0.91015714	0.9976028969245677	0.9952172585733184	0.5	-0.03702792510564583	1.0	1.0	1.0	-0.026651399126376832
20	-0.43275526	-1.8193091	-1.9109612	0.9976028969245677	0.9952172585733184	0.5	-0.06108515972515408	1.0	1.0	1.0	-0.057741016549127645
21	0.6766583	0.19441031	0.21836524	0.9976028969245677	0.9952172585733184	0.5	0.006669608112177657	1.0	1.0	1.0	0.013232488878389723
22	0.19844513	-0.107702754	-0.14346859	0.9976028969245677	0.9952172585733184	0.5	-0.04056061443797219	1.0	1.0	1.0	-0.037220212549293
23	-0.10785238	-2.1390445	-2.2759097	0.9976028969245677	0.9952172585733184	0.5	-0.0446248238108514	1.0	1.0	1.0	-0.03743992529587242
24	-0.2176404	0.427215	0.24227822	0.9976028969245677	0.9952172585733184	0.5	-0.06170914309709501	1.0	1.0	1.0	-0.059947731573725974
25	-0.6087332	-0.6190714	-0.6248476	0.9976028969245677	0.9952172585733184	0.5	-0.06579204502674978	1.0	1.0	1.0	-0.06835059522938976
26	1.7700193	-0.04695015	-0.022836396	0.9976028969245677	0.9952172585733184	0.5	-0.06711898317755124	1.0	1.0	1.0	-0.07221176777847357
27	0.8592478	1.8033537	1.8802781	0.9976028969245677	0.9952172585733184	0.5	-0.040518652293892704	1.0	1.0	1.0	-0.04114931542546847
28	-0.46816453	0.4619441	0.46910515	0.9976028969245677	0.9952172585733184	0.5	-0.03974721522099844	1.0	1.0	1.0	-0.03986681773451554
29	0.9595358	0.5271554	0.48026633	0.9976028969245677	0.9952172585733184	0.5	-0.043757646176272535	1.0	1.0	1.0	-0.043803756624226795
30	-0.36395055	-1.3558525	-1.2941726	0.9976028969245677	0.9952172585733184	0.5	-0.03409697435541971	1.0	1.0	1.0	-0.03306219283889617
31	-0.20951623	0.72724676	0.62535375	0.9976028969245677	0.9952172585733184	0.5	-0.043159305198221656	1.0	1.0	1.0	-0.04424679209562714
32	-0.013972886	-0.8665438	-0.77219766	0.9976028969245677	0.9952172585733184	0.5	-0.02918071005940008	1.0	1.0	1.0	-0.024012185783526332
33	-0.2675696	-0.8192275	-0.79605037	0.9976028969245677	0.9952172585733184	0.5	-0.04601671867101008	1.0	1.0	1.0	-0.047456644276239364
34	-0.07637547	-0.9354283	-0.92853624	0.9976028969245677	0.9952172585733184	0.5	-0.03124751597568364	1.0	1.0	1.0	-0.025817637645266987
35	0.76143605	1.5341371	1.6550814	0.9976028969245677	0.9952172585733184	0.5	-0.0476913383326836	1.0	1.0	1.0	-0.04883313781278788
36	0.64338136	-0.3697177	-0.39251825	0.9976028969245677	0.9952172585733184	0.5	-0.029832312224077853	1.0	1.0	1.0	-0.026818306630076887
37	0.020063981	2.5044837	2.4993408	0.9976028969245677	0.9952172585733184	0.5	-0.08616183700599923	1.0	1.0	1.0	-0.09836980622048688
38	3.0014749	1.2256109	1.2196641	0.9976028969245677	0.9952172585733184	0.5	-0.044174468064186144	1.0	1.0	1.0	-0.047108002187195595
39	1.399525	1.283871	1.282019	0.9976028969245677	0.9952172585733184	0.5	-0.03806119623888335	1.0	1.0	1.0	-0.04066290210826597
40	1.9392363	0.3641796	0.40923676	0.9976028969245677	0.9952172585733184	0.5	-0.0363447181283925	1.0	1.0	1.0	-0.03887110578482855
41	1.7633326	-0.9918754	-0.7068453	0.9976028969245677	0.9952172585733184	0.5	-0.03615601406174504	1.0	1.0	1.0	-0.03854960252777379
42	1.7037437	0.83901817	1.089529	0.9976028969245677	0.9952172585733184	0.5	-0.03621726663571212	1.0	1.0	1.0	-0.038281153991552984
43	0.97268814	0.14839792	0.28462803	0.9976028969245677	0.9952172585733184	0.5	-0.03565109745175077	1.0	1.0	1.0	-0.03764133964788841
44	0.6902238	-1.0408708	-0.9355676	0.9976028969245677	0.9952172585733184	0.5	-0.03533258298918669	1.0	1.0	1.0	-0.03714275477989472
45	1.1223925	-0.24214305	-0.114281	0.9976028969245677	0.9952172585733184	0.5	-0.02915988709391601	1.0	1.0	1.0	-0.02844652320213296
46	-0.08050214	2.6164875	2.6374743	0.9976028969245677	0.9952172585733184	0.5	-0.04579808897998887	1.0	1.0	1.0	-0.046761980381663716
47	0.11623846	-2.1414049	-2.024585	0.9976028969245677	0.9952172585733184	0.5	-0.05242979208798938	1.0	1.0	1.0	-0.054202742046004296
48	0.98365307	0.9108222	0.9926159	0.9976028969245677	0.9952172585733184	0.5	-0.04448459464550695	1.0	1.0	1.0	-0.04739607634583448
49	0.08815189	-1.2009981	-1.1680915	0.9976028969245677	0.9952172585733184	0.5	-0.030565663513258116	1.0	1.0	1.0	-0.03316691509640293
50	-0.42657384	1.930847	1.9209746	0.9976028969245677	0.9952172585733184	0.5	-0.06143981571258612	1.0	1.0	1.0	-0.06694543620751783
51	1.8393416	0.5872559	0.584245	0.9976028969245677	0.9952172585733184	0.5	-0.04349523265531358	1.0	1.0	1.0	-0.04683756516670451
52	1.2368826	1.2050536	1.1707039	0.9976028969245677	0.9952172585733184	0.5	-0.0358725343503624	1.0	1.0	1.0	-0.0385485912887528
53	1.1859756	0.9276182	0.8751697	0.9976028969245677	0.9952172585733184	0.5	-0.03496458971196493	1.0	1.0	1.0	-0.03755249615278473
54	0.7793144	-0.8744643	-0.86844105	0.9976028969245677	0.9952172585733184	0.5	-0.03427238822339684	1.0	1.0	1.0	-0.03681127706185137
55	0.31640017	-2.8867996	-2.814616	0.9976028969245677	0.9952172585733184	0.5	-0.033136411897856044	1.0	1.0	1.0	-0.035582352876204135
56	-0.06790486	1.1669923	1.2565558	0.9976028969245677	0.9952172585733184	0.5	-0.03154933967798795	1.0	1.0	1.0	-0.033610150937113524
57	0.7957822	0.15774982	0.3442447	0.9976028969245677	0.9952172585733184	0.5	-0.029970657511157565	1.0	1.0	1.0	-0.03022284912741045
58	0.24091826	5.1306295	5.1311884	0.9976028969245677	0.9952172585733184	0.5	-0.09352865564133495	1.0	1.0	1.0	-0.10114964066734614
59	2.0831857	-0.18137856	-0.1758045	0.9976028969245677	0.9952172585733184	0.5	-0.03724062860503603	1.0	1.0	1.0	-0.03990437356003028
60	0.7533999	0.3109385	0.31394804	0.9976028969245677	0.9952172585733184	0.5	-0.03382269510362248	1.0	1.0	1.0	-0.03644023234238462
61	1.5434256	1.0643543	1.0646381	0.9976028969245677	0.9952172585733184	0.5	-0.03419023448842992	1.0	1.0	1.0	-0.03676702561103493
62	1.2364109	1.4791921	1.4823698	0.9976028969245677	0.9952172585733184	0.5	-0.037090931570895276	1.0	1.0	1.0	-0.03961761220405196
63	1.5075835	0.77141714	0.77469426	0.9976028969245677	0.9952172585733184	0.5	-0.035151033754915566	1.0	1.0	1.0	-0.03766995598462864
64	1.152134	0.9127185	0.9138284	0.9976028969245677	0.9952172585733184	0.5	-0.0343582205845825	1.0	1.0	1.0	-0.03688711428183133
65	1.2662196	1.609727	1.6100324	0.9976028969245677	0.9952172585733184	0.5	-0.03459673295412494	1.0	1.0	1.0	-0.037130438298874816
66	1.5317016	0.47785017	0.4801182	0.9976028969245677	0.9952172585733184	0.5	-0.034547838991983146	1.0	1.0	1.0	-0.037086305268920684
67	1.2821459	1.4389015	1.4406748	0.9976028969245677	0.9952172585733184	0.5	-0.034319078643231256	1.0	1.0	1.0	-0.03685778970239921
68	0.81156385	2.2578175	2.2587855	0.9976028969245677	0.9952172585733184	0.5	-0.03346286569088133	1.0	1.0	1.0	-0.03595402696574854
69	1.6047269	2.0629475	2.0655532	0.9976028969245677	0.9952172585733184	0.5	-0.033361813398819315	1.0	1.0	1.0	-0.035770671292274146
70	0.55437315	2.0538104	1.8515669	0.9976028969245677	0.9952172585733184	0.5	-0.033283924635115196	1.0	1.0	1.0	-0.035557813648897214
71	1.2612288	1.0449195	1.041114	0.9976028969245677	0.9952172585733184	0.5	-0.02501728421350712	1.0	1.0	1.0	-0.014673574932180718
72	1.0200456	1.0178628	1.0115993	0.9976028969245677	0.9952172585733184	0.5	-0.030584921782559966	1.0	1.0	1.0	-0.03204390369818151
73	1.0076078	0.984817	0.9822483	0.9976028969245677	0.9952172585733184	0.5	-0.031083022484640233	1.0	1.0	1.0	-0.032998357619681014
74	0.97246695	0.8711694	0.8813476	0.9976028969245677	0.9952172585733184	0.5	-0.03134401823509366	1.0	1.0	1.0	-0.033381153016659705
75	0.91328573	0.8266697	0.87637496	0.9976028969245677	0.9952172585733184	0.5	-0.0320704576585627	1.0	1.0	1.0	-0.034017969061689905
76	0.8967271	0.8906564	0.8869601	0.9976028969245677	0.9952172585733184	0.5	-0.032247019580959956	1.0	1.0	1.0	-0.034270027390801865
77	0.8386821	0.7210355	0.78409845	0.9976028969245677	0.9952172585733184	0.5	-0.032548465301924824	1.0	1.0	1.0	-0.034602247560391625
78	0.82714176	0.74686813	0.8085453	0.9976028969245677	0.9952172585733184	0.5	-0.03216067480490007	1.0	1.0	1.0	-0.03425642317695389
79	0.77043384	0.6836324	0.6897795	0.9976028969245677	0.9952172585733184	0.5	-0.03314942026629002	1.0	1.0	1.0	-0.03524263217918119
80	0.8219113	0.71987015	0.7581417	0.9976028969245677	0.9952172585733184	0.5	-0.03235927332176729	1.0	1.0	1.0	-0.03451363487241118
81	0.35406458	0.19415374	0.26039013	0.9976028969245677	0.9952172585733184	0.5	-0.03796163005876106	1.0	1.0	1.0	-0.038805709717258344
82	1.0716057	0.8676732	0.9072199	0.9976028969245677	0.9952172585733184	0.5	-0.031199217022556368	1.0	1.0	1.0	-0.014045776676225882
83	1.0274904	0.933537	0.94324064	0.9976028969245677	0.9952172585733184	0.5	-0.030901118170053213	1.0	1.0	1.0	-0.03287507009957246
84	0.43380314	-1.7878227	-1.5756637	0.9976028969245677	0.9952172585733184	0.5	-0.03162936366699464	1.0	1.0	1.0	-0.03365686501604879
85	-0.48709425	-2.150654	-1.8908523	0.9976028969245677	0.9952172585733184	0.5	-0.040749416705133955	1.0	1.0	1.0	-0.040396883224073914
86	1.381245	1.323979	1.3427073	0.9976028969245677	0.9952172585733184	0.5	-0.030681276897261606	1.0	1.0	1.0	-0.03267460898080154
87	1.1550167	1.0408674	1.0264903	0.9976028969245677	0.9952172585733184	0.5	-0.02666139933292056	1.0	1.0	1.0	-0.024347953006511946
88	1.0261091	1.0299766	1.0089906	0.9976028969245677	0.9952172585733184	0.5	-0.029467718904382045	1.0	1.0	1.0	-0.03019561005200279
89	1.0016391	1.0197226	1.0052851	0.9976028969245677	0.9952172585733184	0.5	-0.030147637924630266	1.0	1.0	1.0	-0.031524681954969457
90	0.9990739	1.0061976	0.9987631	0.9976028969245677	0.9952172585733184	0.5	-0.030563351119308555	1.0	1.0	1.0	-0.03220252844517791
91	0.9738546	0.8964288	0.928508	0.9976028969245677	0.9952172585733184	0.5	-0.030939980568513287	1.0	1.0	1.0	-0.03286275878099705
92	0.88053715	0.79910684	0.8185732	0.9976028969245677	0.9952172585733184	0.5	-0.03110968357803565	1.0	1.0	1.0	-0.03329510510685517
93	0.752549	0.91176176	0.9364328	0.9976028969245677	0.9952172585733184	0.5	-0.03133420572690332	1.0	1.0	1.0	-0.033537935543709506
94	0.6808263	0.647016	0.70279986	0.9976028969245677	0.9952172585733184	0.5	-0.03160284263257017	1.0	1.0	1.0	-0.03387695619676181
95	0.6341633	0.36454904	0.45573175	0.9976028969245677	0.9952172585733184	0.5	-0.031919132079810696	1.0	1.0	1.0	-0.03424440262896446
96	0.2946968	-1.6672134	-1.5189368	0.9976028969245677	0.9952172585733184	0.5	-0.03416281169769027	1.0	1.0	1.0	-0.036364419708862936
97	0.58470577	0.7978805	0.8384684	0.9976028969245677	0.9952172585733184	0.5	-0.0353991817528613	1.0	1.0	1.0	-0.0373820642027188
98	0.9977911	1.0674512	1.0287875	0.9976028969245677	0.9952172585733184	0.5	-0.030855628015549776	1.0	1.0	1.0	-0.03302581894834616
99	0.97440296	0.8658176	0.90680224	0.9976028969245677	0.9952172585733184	0.5	-0.031008469039447085	1.0	1.0	1.0	-0.033178582324076084
